lane,rank_in_lane,score,headline
Louisville KY Open Code Violations,3,99.93,"2827 NORTHWESTERN PKY, LOUISVILLE, KY 40212-0000 | I21 | Vacant Lot"
Louisville KY Open Code Violations,4,99.93,"629 E ST CATHERINE ST, LOUISVILLE, KY 40203 | X69 | Vacant Structure"
Louisville KY Open Code Violations,5,99.93,"629 E ST CATHERINE ST, LOUISVILLE, KY 40203 | X90 | Vacant Structure"
Louisville KY Open Code Violations,6,99.93,"629 E ST CATHERINE ST, LOUISVILLE, KY 40203 | X40 | Vacant Structure"
Louisville KY Open Code Violations,7,99.93,"2750 W MAIN ST, LOUISVILLE, KY 40212 | X50 | Vacant Structure"
Louisville KY Open Code Violations,8,99.93,"2750 W MAIN ST, LOUISVILLE, KY 40212 | X69 | Vacant Structure"
Louisville KY Open Code Violations,9,99.93,"2750 W MAIN ST, LOUISVILLE, KY 40212 | X72 | Vacant Structure"
Louisville KY Open Code Violations,10,99.93,"2750 W MAIN ST, LOUISVILLE, KY 40212 | X40 | Vacant Structure"
Louisville KY Open Code Violations,11,99.93,"2750 W MAIN ST, LOUISVILLE, KY 40212 | X19 | Vacant Structure"
Louisville KY Open Code Violations,12,99.93,"6910 MATTHEWS RD, LOUISVILLE, KY 40258 | 02A | Vacant Lot"
Louisville KY Open Code Violations,13,99.93,"6910 MATTHEWS RD, LOUISVILLE, KY 40258 | X90 | Vacant Lot"
Louisville KY Open Code Violations,14,99.93,"6910 MATTHEWS RD, LOUISVILLE, KY 40258 | 05A | Vacant Lot"
Louisville KY Open Code Violations,15,99.93,"4147 W MARKET ST, LOUISVILLE, KY 40212 | 02A | Vacant Structure"
Louisville KY Open Code Violations,16,99.93,"2229 OSAGE AVE, LOUISVILLE, KY 40210 | 02A | Vacant Structure"
Louisville KY Open Code Violations,17,99.93,"4147 W MARKET ST, LOUISVILLE, KY 40212 | E05 | Vacant Structure"
Louisville KY Open Code Violations,18,99.93,"4147 W MARKET ST, LOUISVILLE, KY 40212 | X50 | Vacant Structure"
Louisville KY Open Code Violations,19,99.93,"4147 W MARKET ST, LOUISVILLE, KY 40212 | X69 | Vacant Structure"
Louisville KY Open Code Violations,20,99.93,"4147 W MARKET ST, LOUISVILLE, KY 40212 | X19 | Vacant Structure"
Louisville KY Open Code Violations,21,99.93,"6800 HILL PEAK CT, LOUISVILLE, KY 40214 | X47 | Vacant Structure"
Louisville KY Open Code Violations,22,99.93,"6800 HILL PEAK CT, LOUISVILLE, KY 40214 | X50 | Vacant Structure"
Louisville KY Open Code Violations,23,99.93,"6800 HILL PEAK CT, LOUISVILLE, KY 40214 | X78 | Vacant Structure"
Louisville KY Open Code Violations,24,99.93,"6800 HILL PEAK CT, LOUISVILLE, KY 40214 | X19 | Vacant Structure"
Louisville KY Open Code Violations,25,99.93,"3312 W KENTUCKY ST, LOUISVILLE, KY 40211 | X50 | Vacant Structure"
Louisville KY Lien Holder Final Orders,1,55.0,"CUNNINGHAM, PATRICIA BROWN MCNEAL | Final By Citation | $1500.0 | mail_state: DC"
Louisville KY Lien Holder Final Orders,2,44.32,"ZIRACO, LLC | Final By Citation | $966.0 | mail_state: WY"
Louisville KY Lien Holder Final Orders,3,43.0,"2023Q2, HIG INV SOLE LLC | Final By Hearing | $900.0 | mail_state: UT"
Louisville KY Lien Holder Final Orders,4,43.0,"PIACENTINO, STEVEN N | Final By Citation | $900.0 | mail_state: NY"
Louisville KY Lien Holder Final Orders,5,43.0,"GEP, LLC | Final By Citation | $900.0 | mail_state: CA"
Louisville KY Lien Holder Final Orders,6,41.0,"DANIEL, DERWENT | Final By Citation | $800.0 | mail_state: TN"
Louisville KY Lien Holder Final Orders,7,41.0,"LEDGEWOOD, MULTIFAMILY PARTNERS LLC | Final By Citation | $800.0 | mail_state: TN"
Louisville KY Lien Holder Final Orders,8,41.0,"COCHRAN, LOUIS A & EULALEAN | Final By Citation | $800.0 | mail_state: NH"
Louisville KY Lien Holder Final Orders,9,41.0,"NICHOLAS, NIGEL | Final By Citation | $800.0 | mail_state: IN"
Louisville KY Lien Holder Final Orders,10,41.0,"NICHOLAS, NIGEL | Final By Citation | $800.0 | mail_state: IN"
Louisville KY Lien Holder Final Orders,11,41.0,"NEXGEN, COASTAL INVESTMENTS LLC | Final By Citation | $800.0 | mail_state: FL"
Louisville KY Lien Holder Final Orders,12,40.0,"CRAWFORD, JOHN C | Final By Citation | $2000.0 | mail_state: KY"
Louisville KY Lien Holder Final Orders,13,40.0,"ETHERIDGE, JAMES J | Final By Citation | $2000.0 | mail_state: KY"
Louisville KY Lien Holder Final Orders,14,40.0,"RED, DOOR LEGACY LLC | Final By Citation | $2000.0 | mail_state: KY"
Louisville KY Lien Holder Final Orders,15,40.0,"RED, DOOR LEGACY LLC | Final By Citation | $2000.0 | mail_state: KY"
Louisville KY Lien Holder Final Orders,16,40.0,"DURHAM, LARRY P & ROBIN L | Final By Citation | $2000.0 | mail_state: KY"
Louisville KY Lien Holder Final Orders,17,39.0,"KY, PORTLAND LLC | Final By Hearing | $700.0 | mail_state: FL"
Louisville KY Lien Holder Final Orders,18,39.0,"STENBERG, MARK DEVEN | Final By Hearing | $700.0 | mail_state: IL"
Louisville KY Lien Holder Final Orders,19,39.0,"LEDGEWOOD, MULTIFAMILY PARTNERS LLC | Final By Citation | $700.0 | mail_state: TN"
Louisville KY Lien Holder Final Orders,20,39.0,"LEDGEWOOD, MULTIFAMILY PARTNERS LLC | Final By Citation | $700.0 | mail_state: TN"
Louisville KY Lien Holder Final Orders,21,39.0,"2023Q2, HIG INV SOLE LLC | Final By Citation | $700.0 | mail_state: UT"
Louisville KY Lien Holder Final Orders,22,39.0,"SHANE, ADAMS REAL ESTATE INC | Final By Citation | $700.0 | mail_state: IN"
Louisville KY Lien Holder Final Orders,23,37.0,"ST, ANTHONY GARDENS LLC | Final By Citation | $600.0 | mail_state: NY"
Louisville KY Lien Holder Final Orders,24,37.0,"2023Q2, HIG INV SOLE LLC | Final By Hearing | $600.0 | mail_state: UT"
Louisville KY Lien Holder Final Orders,25,37.0,"SHANE, JEWELL | Final By Citation | $600.0 | mail_state: OH"
